job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0001,model_training,CRITICAL,5,27,0.0,17.0069,5.9524,0.0,100.0,0.1388,45.0,SUCCESS
JOB-0002,hyperparameter_tuning,CRITICAL,4,16,0.0,24.0958,8.4335,0.0,100.0,0.1982,45.0,SUCCESS
JOB-0003,hyperparameter_tuning,HIGH,4,40,0.0,29.1243,10.1935,0.0,100.0,0.2348,45.0,SUCCESS
JOB-0004,feature_engineering,NORMAL,3,71,0.0,6.3451,2.2208,0.0,100.0,0.0488,45.0,SUCCESS
JOB-0005,feature_engineering,NORMAL,3,128,0.0,7.3604,2.5761,0.0,100.0,0.0575,45.0,SUCCESS
JOB-0006,hyperparameter_tuning,CRITICAL,4,28,0.0,36.2688,12.6941,0.0,100.0,0.2964,45.0,SUCCESS
JOB-0007,model_training,CRITICAL,5,22,0.001,25.2484,8.8369,0.0,100.0,0.2071,45.0,SUCCESS
JOB-0008,feature_engineering,HIGH,3,89,0.0,5.8826,2.0589,0.0,100.0,0.0465,45.0,SUCCESS
JOB-0009,model_training,HIGH,5,74,0.0,19.4875,6.8206,0.0,100.0,0.1599,45.0,SUCCESS
JOB-0010,feature_engineering,CRITICAL,3,18,0.0,5.3472,1.8715,0.0,100.0,0.0421,45.0,SUCCESS
JOB-0011,feature_engineering,HIGH,3,59,0.0,7.0368,2.4629,0.0,100.0,0.0553,45.0,SUCCESS
JOB-0012,data_preprocessing,HIGH,4,67,0.0,7.1417,2.4996,0.0,100.0,0.0556,45.0,SUCCESS
JOB-0013,batch_prediction,HIGH,4,70,0.0,4.9535,1.7337,0.0,100.0,0.0407,45.0,SUCCESS
JOB-0014,hyperparameter_tuning,CRITICAL,4,27,0.0,29.9563,10.4847,0.0,100.0,0.2473,45.0,SUCCESS
JOB-0015,llm_inference,CRITICAL,3,30,0.0,2.2153,0.7753,0.0,100.0,0.0189,45.0,SUCCESS
JOB-0016,model_validation,BACKGROUND,4,376,0.0,4.2646,1.4926,0.0,100.0,0.0325,45.0,SUCCESS
JOB-0017,model_training,NORMAL,5,159,0.0,18.19,6.3665,0.0,100.0,0.1482,45.0,SUCCESS
JOB-0018,llm_inference,NORMAL,3,166,0.0,1.7917,0.6271,0.0,100.0,0.0152,45.0,SUCCESS
JOB-0019,batch_prediction,CRITICAL,4,12,0.0,5.4389,1.9036,0.0,100.0,0.0438,45.0,SUCCESS
JOB-0020,data_preprocessing,HIGH,4,68,0.0,6.9771,2.442,0.0,100.0,0.053,45.0,SUCCESS
JOB-0021,batch_prediction,HIGH,4,87,0.0,6.9597,2.4359,0.0,100.0,0.0576,45.0,SUCCESS
JOB-0022,model_training,HIGH,5,34,0.0,20.084,7.0294,0.0,100.0,0.1657,45.0,SUCCESS
