job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,best_time_slot,sla_compliance,escalation,total_cost_usd,avg_utilization,scale_actions,status
JOB-0001,model_training,CRITICAL,5,27,0.866,11.807,4.9538,25.6,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0002,hyperparameter_tuning,CRITICAL,4,16,0.026,16.385,6.783,29.5,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0003,hyperparameter_tuning,HIGH,4,40,0.012,19.926,7.638,33.4,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0004,feature_engineering,NORMAL,3,71,0.012,4.481,1.8507,27.7,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0005,feature_engineering,NORMAL,3,128,0.011,5.185,2.1667,25.2,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0006,hyperparameter_tuning,CRITICAL,4,28,0.011,24.711,10.1439,27.0,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0007,model_training,CRITICAL,5,22,0.011,17.481,7.3368,27.1,12:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0008,feature_engineering,HIGH,3,89,0.01,4.126,1.5679,32.9,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0009,model_training,HIGH,5,74,0.013,13.504,5.8769,23.1,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0010,feature_engineering,CRITICAL,3,18,0.013,3.763,1.5579,29.8,12:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0011,feature_engineering,HIGH,3,59,0.011,4.963,2.1073,25.7,14:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0012,data_preprocessing,HIGH,4,67,0.011,5.022,2.0751,28.5,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0013,batch_prediction,HIGH,4,70,0.011,3.422,1.4349,25.3,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0014,hyperparameter_tuning,CRITICAL,4,27,0.011,20.348,8.4688,30.6,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0015,llm_inference,CRITICAL,3,30,0.011,1.489,0.5977,31.2,12:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0016,model_validation,BACKGROUND,4,376,0.011,3.03,1.2095,27.3,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0017,model_training,NORMAL,5,159,0.012,12.622,5.1952,27.8,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0018,llm_inference,NORMAL,3,166,0.011,1.207,0.4997,26.1,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0019,batch_prediction,CRITICAL,4,12,0.012,3.8,1.5504,30.1,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
