job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0001,model_training,CRITICAL,5,27,0.0,17.7111,6.7302,0.0,100.0,0.155,42.0,SUCCESS
JOB-0002,hyperparameter_tuning,CRITICAL,4,16,0.0,24.5778,9.3396,0.0,100.0,0.2151,42.0,SUCCESS
JOB-0003,hyperparameter_tuning,HIGH,4,40,0.0,29.8889,11.3578,0.0,100.0,0.2615,42.0,SUCCESS
JOB-0004,feature_engineering,NORMAL,3,71,0.0,6.7222,2.5544,0.0,100.0,0.0588,42.0,SUCCESS
JOB-0005,feature_engineering,NORMAL,3,128,0.0,7.7778,2.9556,0.0,100.0,0.0681,42.0,SUCCESS
JOB-0006,hyperparameter_tuning,CRITICAL,4,28,0.001,37.0667,14.0853,0.0,100.0,0.3243,42.0,SUCCESS
JOB-0007,model_training,CRITICAL,5,22,0.0,26.2222,9.9644,0.0,100.0,0.2294,42.0,SUCCESS
JOB-0008,feature_engineering,HIGH,3,89,0.0,6.1889,2.3518,0.0,100.0,0.0542,42.0,SUCCESS
JOB-0009,model_training,HIGH,5,74,0.0,20.2556,7.6971,0.0,100.0,0.1772,42.0,SUCCESS
JOB-0010,feature_engineering,CRITICAL,3,18,0.0,5.6444,2.1449,0.0,100.0,0.0494,42.0,SUCCESS
JOB-0011,feature_engineering,HIGH,3,59,0.0,7.4444,2.8289,0.0,100.0,0.0651,42.0,SUCCESS
JOB-0012,data_preprocessing,HIGH,4,67,0.0,7.5333,2.8627,0.0,100.0,0.0659,42.0,SUCCESS
JOB-0013,batch_prediction,HIGH,4,70,0.0,5.1333,1.9507,0.0,100.0,0.0449,42.0,SUCCESS
JOB-0014,hyperparameter_tuning,CRITICAL,4,27,0.0,30.5222,11.5984,0.0,100.0,0.2671,42.0,SUCCESS
JOB-0015,llm_inference,CRITICAL,3,30,0.0,2.2333,0.8487,0.0,100.0,0.0195,42.0,SUCCESS
JOB-0016,model_validation,BACKGROUND,4,376,0.0,4.5444,1.7269,0.0,100.0,0.0398,42.0,SUCCESS
JOB-0017,model_training,NORMAL,5,159,0.0,18.9333,7.1947,0.0,100.0,0.1657,42.0,SUCCESS
JOB-0018,llm_inference,NORMAL,3,166,0.0,1.8111,0.6882,0.0,100.0,0.0158,42.0,SUCCESS
JOB-0019,batch_prediction,CRITICAL,4,12,0.0,5.7,2.166,0.0,100.0,0.0499,42.0,SUCCESS
JOB-0020,data_preprocessing,HIGH,4,68,0.0,7.4222,2.8204,0.0,100.0,0.0649,42.0,SUCCESS
JOB-0021,batch_prediction,HIGH,4,87,0.0,7.1778,2.7276,0.0,100.0,0.0628,42.0,SUCCESS
JOB-0022,model_training,HIGH,5,34,0.0,20.7778,7.8956,0.0,100.0,0.1818,42.0,SUCCESS
JOB-0023,llm_inference,HIGH,3,62,0.0,1.6667,0.6333,0.0,100.0,0.0146,42.0,SUCCESS
