job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0001,model_training,CRITICAL,5,27,0.0,14.5014,6.0906,0.0,100.0,0.0913,38.0,SUCCESS
JOB-0002,hyperparameter_tuning,CRITICAL,4,16,0.0,20.2218,8.4931,0.0,75.0,0.1321,38.0,SUCCESS
JOB-0003,hyperparameter_tuning,HIGH,4,40,0.0,25.3095,10.63,0.0,100.0,0.1743,38.0,SUCCESS
JOB-0004,feature_engineering,NORMAL,3,71,0.0,5.5542,2.3327,0.0,100.0,0.0336,38.0,SUCCESS
JOB-0005,feature_engineering,NORMAL,3,128,0.0,7.3604,3.0914,0.0,100.0,0.0575,38.0,SUCCESS
JOB-0006,hyperparameter_tuning,CRITICAL,4,28,0.0,33.8727,14.2265,0.0,100.0,0.2631,38.0,SUCCESS
JOB-0007,model_training,CRITICAL,5,22,0.0,23.6039,9.9137,0.0,100.0,0.1627,38.0,SUCCESS
JOB-0008,feature_engineering,HIGH,3,89,0.0,5.8826,2.4707,0.0,100.0,0.0465,38.0,SUCCESS
JOB-0009,model_training,HIGH,5,74,0.0,18.0938,7.5994,0.0,100.0,0.1234,38.0,SUCCESS
JOB-0010,feature_engineering,CRITICAL,3,18,0.0,5.3472,2.2458,0.0,100.0,0.0421,38.0,SUCCESS
JOB-0011,feature_engineering,HIGH,3,59,0.0,5.9565,2.5017,0.0,100.0,0.0361,38.0,SUCCESS
JOB-0012,data_preprocessing,HIGH,4,67,0.0,6.2123,2.6092,0.0,100.0,0.0402,38.0,SUCCESS
JOB-0013,batch_prediction,HIGH,4,70,0.0,4.6847,1.9676,0.0,100.0,0.036,38.0,SUCCESS
JOB-0014,hyperparameter_tuning,CRITICAL,4,27,0.0,22.8606,9.6015,0.0,75.0,0.1148,38.0,SUCCESS
JOB-0015,llm_inference,CRITICAL,3,30,0.0,1.6056,0.6743,0.0,100.0,0.0078,38.0,SUCCESS
JOB-0016,model_validation,BACKGROUND,4,376,0.0,3.5954,1.5101,0.0,100.0,0.0211,38.0,SUCCESS
JOB-0017,model_training,NORMAL,5,159,0.0,14.2613,5.9898,0.0,100.0,0.0747,38.0,SUCCESS
JOB-0018,llm_inference,NORMAL,3,166,0.0,1.3296,0.5584,0.0,100.0,0.0068,38.0,SUCCESS
